Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:34:38,12-02-2024 10:34:43,5.867s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 10:34:43,12-02-2024 10:34:44,0.940s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 10:34:44,12-02-2024 10:34:46,1.247s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 10:34:46,12-02-2024 10:34:46,0.581s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,12-02-2024 10:34:46,12-02-2024 10:34:49,2.299s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 10:34:49,12-02-2024 10:34:49,0.212s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:34:51,12-02-2024 10:34:51,0.001s,PASSED
,,,,,,,
Test Cases/Login,Chrome 121.0.0.0,,,12-02-2024 10:34:51,12-02-2024 10:35:07,16.040s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:34:51,12-02-2024 10:34:52,0.724s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 10:34:52,12-02-2024 10:34:53,1.814s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:34:53,12-02-2024 10:34:56,2.728s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 10:34:56,12-02-2024 10:34:57,0.910s,PASSED
